arm-coff			arm-unknown-coff
arm-elf				arm-unknown-elf
sun3				m68k-sun-sunos4.1.1
sun4 				sparc-sun-sunos4.1.1
ibm				i370-ibm-aix
i386-os2			i386-pc-os2
os400				powerpc-ibm-os400
mmix				mmix-knuth-mmixware
mmix-elf			mmix-knuth-elf
i386-linux			i386-pc-linux-gnu
i386-netbsd			i386-pc-netbsd
i386-openbsd			i386-pc-openbsd
i386-freebsd			i386-pc-freebsd
pc98-freebsd			i386-pc-freebsd
i386-elf			i386-pc-elf
i486-elf			i486-pc-elf
i586-elf			i586-pc-elf
i686-elf			i686-pc-elf
i786-elf			i786-pc-elf
amd64-unknown-freebsd5.2	x86_64-unknown-freebsd5.2
cris-linux			cris-axis-linux-gnu
crisv32-linux			crisv32-axis-linux-gnu
frv-linux			frv-unknown-linux-gnu
djgpp				i586-pc-msdosdjgpp
s390-ibm-zvmoe			s390-ibm-zvmoe
xscale				xscale-unknown-none
xscaleeb			xscaleeb-unknown-none
xscaleel			xscaleel-unknown-none
xbox				i686-pc-mingw32
maxq				maxq-unknown-none
maxq-elf			maxq-unknown-elf
amd64-cygwin			x86_64-pc-cygwin
x86_64-cygwin			x86_64-pc-cygwin
sparc64-linux			sparc64-unknown-linux-gnu
sparc64b-linux			sparc64b-unknown-linux-gnu
bfin-elf			bfin-unknown-elf
bfin				bfin-unknown-none
arm-riscos			arm-unknown-riscos
arm-unknown-riscos		arm-unknown-riscos
i586-skyos			i586-pc-skyos
m32c				m32c-unknown-none
m32c-elf			m32c-unknown-elf
ms1				mt-unknown-none
ms1-elf				mt-unknown-elf
mips64vr5900-elf		mips64vr5900-unknown-elf
mips64vr5900el-elf		mips64vr5900el-unknown-elf
mips64vr5900			mips64vr5900-unknown-elf
mips64vr5900el			mips64vr5900el-unknown-elf
sh64				sh64-unknown-none
sh64-elf			sh64-unknown-elf
openrisc-linux			or32-unknown-linux-gnu
or32-linux			or32-unknown-linux-gnu
sh-elf				sh-unknown-elf
sh1-elf				sh1-unknown-elf
sh2-elf				sh2-unknown-elf
sh3-elf				sh3-unknown-elf
sh4-elf				sh4-unknown-elf
sh2a-elf			sh2a-unknown-elf
sh4a-elf			sh4a-unknown-elf
sh2e-elf			sh2e-unknown-elf
sh3e-elf			sh3e-unknown-elf
sh3eb-elf			sh3eb-unknown-elf
sh4eb-elf			sh4eb-unknown-elf
sheb-elf			sheb-unknown-elf
shbe-elf			shbe-unknown-elf
shle-elf			shle-unknown-elf
sh1le-elf			sh1le-unknown-elf
sh2le-elf			sh2le-unknown-elf
sh3le-elf			sh3le-unknown-elf
sh4le-elf			sh4le-unknown-elf
sh3ele-elf			sh3ele-unknown-elf
i386-haiku			i386-pc-haiku
sparc-haiku			sparc-unknown-haiku
powerpc-haiku			powerpc-unknown-haiku
i386-pc-sco6			i386-pc-sco5v6
i386-pc-sco5v6			i386-pc-sco5v6
mt				mt-unknown-none
mt-elf				mt-unknown-elf
rdos				i386-pc-rdos
i586-rdos			i586-pc-rdos
i386-linux-newlib		i386-pc-linux-newlib
mb-elf				mb-unknown-elf
microblaze-elf			microblaze-unknown-elf
i386-solidbsd			i386-pc-solidbsd
amd64-kfreebsd5.4-gnu		x86_64-pc-kfreebsd5.4-gnu
nios				nios-unknown-none
nios2				nios2-unknown-none
nios-elf			nios-unknown-elf
nios2-elf			nios2-unknown-elf
sparcv9v-elf			sparcv9v-unknown-elf
sparc64v-elf			sparc64v-unknown-elf
sparcv9v-solaris2.9		sparcv9v-unknown-solaris2.9
sparc64v-solaris2.9		sparc64v-unknown-solaris2.9
sh-toppers			sh-unknown-toppers
spu				spu-unknown-elf
spu-elf				spu-unknown-elf
spu-linux			spu-unknown-linux-gnu
avr32				avr32-unknown-none
avr32-linux			avr32-unknown-linux-gnu
xc16x				xc16x-unknown-none
xc16x-elf			xc16x-unknown-elf
sde-elf				mipsisa32-sde-elf
mips-sde-elf			mips-sde-elf
score				score-unknown-elf
score-elf			score-unknown-elf
sh5el-elf			sh5le-unknown-elf
sh5el-netbsd			sh5le-unknown-netbsd
fido-elf			fido-unknown-elf
fido				fido-unknown-none
xtensa-elf			xtensa-unknown-elf
xtensa-linux			xtensa-unknown-linux-gnu
xtensa_dc232b-linux		xtensa_dc232b-unknown-linux-gnu
i386-drops1.0			i386-pc-drops1.0
mep				mep-unknown-elf
mep-elf				mep-unknown-elf
mingw32ce			arm-unknown-mingw32ce
arm-mingw32ce			arm-unknown-mingw32ce
blackfin			bfin-unknown-linux-gnu
m68knommu			m68k-unknown-linux-gnu
parisc				hppa-unknown-linux-gnu
tile				tile-unknown-linux-gnu
tile64				tile-unknown-linux-gnu
tile-linux			tile-unknown-linux-gnu
tile-tilera-linux		tile-tilera-linux-gnu
mips64r5900-elf			mips64r5900-unknown-elf
mips64r5900el-elf		mips64r5900el-unknown-elf
mips64r5900			mips64r5900-unknown-elf
mips64r5900el			mips64r5900el-unknown-elf
mips64octeon			mips64octeon-unknown-elf
